title,genres,Plot
Hari,Drama,"Movie follows a thirty year old overly religious and superstitious man-child named Hari, He had led his whole life following the rules that were set by his ancestors and his strict mother."
Naike,"Action, Romance","What's wrong with a man dressing up? A movie with action, songs, and romance."
Sanglo,Action,The fight against the sinners and the culprits.
Sick City,Drama,Story of a poor guy named Krishna who enters the world of drugs for fast and easy money and a luxurious life but sometimes things don't work out they way you want them to.
Masterni,"Crime, Thriller, Mystery",Plot to be announced.
Nai Nabhannu La,"Romance, Drama","The emotional journey of an orphaned young boy who struggles with the loss of his parents, eventually discovering the enduring value of love, friendship, and family as he rebuilds his life."
Kabaddi Kabaddi Kabaddi,"Comedy, Drama, Romance",Kaji tries to live rest of his life with Maiya's memories but he falls in love with another girl.
Outlaw - Dafa 219,"Action, Drama",A Nepali action packed movie starring Sushil Shrestha & Directed by Bickee Maharjan.
Kusume Rumal 2,Romance,"Suniti's daughter, Kusum navigates a passionate romance with a reckless biker named Sohan, who faces tragic, unforeseen heartbreak shortly after their marriage."
Chhakka Panja 5,"Drama, Comedy","The king is happily living in his country with his family. The ups and downs in his marital life will increase and he will have to leave the country. He will not give his dreams to his desires. He is ready to go abroad. On the other hand, when he tries to find happiness, the emotional boundaries between him and his relatives stop, which makes him hurt. What will the King decide next?"
Aincho Paincho,Drama,"Dilendra strategically places himself in his political journey to engage in the political arena with admirable principles and ethical standards. Despite being highly regarded by the local community for his beliefs, his party does not consider him a feasible candidate for the upcoming election."
Dashain,"Drama, Family","While an opulent Dashain arrives at Hakimsaab's house, Bhaire, his neighbor and employee, struggles to afford even the basic necessities for his family. This film shows the divergence within the same festival, serving as a callous reminder of the stark differences between socio-economic classes in Nepal."
Butterfly on the Windowpane,Drama,"As the studious Bidya(13) prepares for her further studies, her juvenile brother Basanta(9) distracts her with his antics. But learning, his sister is giving up on her dreams, he struggles to give Bidya the hope she desperately needs."
Ke Ghar Ke Dera,Drama,"Ke Ghar Ke Dera revolves around the humorous and emotional struggles of various families in Kathmandu as they navigate class differences, societal expectations, and the fundamental search for a true place to call home."
Yatra: A Musical Vlog,"Drama, Romance","Yatra is a story of 5 friends aka 'Panch Panchi' who are filmmaking students and actively works for social causes. For their last semester project, they are searching for some life-changing subject and get to know about a mysterious girl through Samriddhi Rai's vlog."
Ma Yesto Geet Gauchu 2,Romance,"A renowned artist helps a promising newcomer achieve success, only to find that her growing talent may surpass his own and jeopardize everything he has built."
Nikhil Dai,Drama,A protective elder brother goes to extreme lengths to safeguard his beloved siblings and fight against anything.
Garud Puran,Comedy,"Henriks doesn’t want to join his father’s band and is trying to go abroad. His friend Rambo, a virgin, is eager to lose his virginity. Karan is in love with a beautiful local girl Jyoti, and Jyoti is using her charm to fulfill her materialistic needs. Garud Puran is a comedy-based drama that revolves around these four characters and their journey."
Koshedhunga,"Drama, Romance","A strong-willed woman defies her father in order to wed her childhood sweetheart, but she faces more antagonism when her new husband leaves the country to find work."
Kri,"Romance, Action, Drama",The film revolves around a life of army recruit. When a man starts to fall in love after while his love gets kidnapped he starts to take revenge on the man.
Ram Naam Satya,Action,"A high-stakes story with the theme of justice, retribution, and conflict, characterized by intense action sequences."
Bishwas,"Drama, Family","A humble villager journeys to the city to earn money for his ailing mother’s treatment, only to find himself drawn into a dangerous world where survival demands unimaginable sacrifices."
Jatrai Jatra,"Comedy, Drama, Action",The three main characters get arrested by the police are released. The film's story revolves around them finding a bag of gold and its consequences.
Rihanna,Drama,"In rural Nepal, thirteen-year-old Saraswoti changes her name to Rihanna. The school principal scolds and disciplines her for blindly imitating Western culture. She wants to prove herself with quiet support from her watchful mother."
Prem Geet,"Drama, Romance","Prem and Geet meet each other on the way to Kagbeni. Geet escaped from home because of her grandmother's continuous insistence to marry. Prem was on the way due to his personal deeds, but he was too pressurized to marry. Both fakes their marriage to get rid of continuous insistence, but ultimately fall in love then after. But their fake marriage creates problems and ultimately they are separated from each other. Both try to convince their parents, but fails. What will happen next? Will Prem and Geet be together? Or choose the path no one wants?"
Prasad,"Drama, Romance",Newly married couple face a lot of challenges when they find out they can't conceive.
Uma,,"Set in the early 2000s, Uma is a story about Uma, her brother Milan and their widow mother living in rural Nepal during the Maoist insurgency."
Loot 2,"Action, Crime","Loot ended with Haku Kale plotting against his four team members to take over entire robbed money. The four gang members, who were framed for the bank robbery, now escape from the prison and want to take revenge against Haku Kale."
A Mero Hajur 2,"Drama, Romance",Girls family objects when she falls in love with her stalker.
